LOCAL	NOME	IP.NAT
B101	FEUP-B101D01	193.136.33.183
B101	FEUP-B101D03	193.136.33.183
B101	FEUP-B101D04	193.136.33.183
B101	FEUP-B101D05	193.136.33.183
B101	FEUP-B101D06	193.136.33.183
B101	FEUP-B101D07	193.136.33.183
B101	FEUP-B101D08	193.136.33.183
B101	FEUP-B101D09	193.136.33.183
B101	FEUP-B101D10	193.136.33.183
B101	FEUP-B101D11	193.136.33.183
B101	FEUP-B101D12	193.136.33.183
B101	FEUP-B101D14	193.136.33.183
B101	FEUP-B101D15	193.136.33.183
B101	FEUP-B101D16	193.136.33.183
B101	FEUP-B101D17	193.136.33.183
B101	FEUP-B101D19	193.136.33.183
B102	FEUP-B102D03	193.136.33.183
B102	FEUP-B102D04	193.136.33.183
B102	FEUP-B102D05	193.136.33.183
B102	FEUP-B102D06	193.136.33.183
B102	FEUP-B102D07	193.136.33.183
B102	FEUP-B102D08	193.136.33.183
B102	FEUP-B102D09	193.136.33.183
B102	FEUP-B102D10	193.136.33.183
B102	FEUP-B102D11	193.136.33.183
B102	FEUP-B102D12	193.136.33.183
B102	FEUP-B102D13	193.136.33.183
B102	FEUP-B102D14	193.136.33.183
B102	FEUP-B102D15	193.136.33.183
B102	FEUP-B102D16	193.136.33.183
B102	FEUP-B102D17	193.136.33.183
B102	FEUP-B102D18	193.136.33.183
B103	FEUP-B103D01	193.136.33.183
B103	FEUP-B103D02	193.136.33.183
B103	FEUP-B103D03	193.136.33.183
B103	FEUP-B103D04	193.136.33.183
B103	FEUP-B103D05	193.136.33.183
B103	FEUP-B103D06	193.136.33.183
B103	FEUP-B103D07	193.136.33.183
B103	FEUP-B103D09	193.136.33.183
B103	FEUP-B103D10	193.136.33.183
B103	FEUP-B103D11	193.136.33.183
B103	FEUP-B103D12	193.136.33.183
B103	FEUP-B103D13	193.136.33.183
B103	FEUP-B103D14	193.136.33.183
B103	FEUP-B103D15	193.136.33.183
B103	FEUP-B103D16	193.136.33.183
B103	FEUP-B103D20	193.136.33.183
B104	FEUP-B104D01	194.210.212.129
B104	FEUP-B104D02	194.210.212.130
B104	FEUP-B104D03	194.210.212.131
B104	FEUP-B104D04	194.210.212.132
B104	FEUP-B104D05	194.210.212.133
B104	FEUP-B104D06	194.210.212.134
B104	FEUP-B104D07	194.210.212.135
B104	FEUP-B104D08	194.210.212.136
B104	FEUP-B104D09	194.210.212.137
B104	FEUP-B104D10	194.210.212.138
B104	FEUP-B104D11	194.210.212.139
B104	FEUP-B104D12	194.210.212.140
B104	FEUP-B104D13	194.210.212.141
B104	FEUP-B104D14	194.210.212.142
